Sample1_time,Sample1_temp,Sample2_time,Sample2_temp
0,95.5,0,107.8
30,91,30,99.2
60,86.5,60,94.2
90,83,90,88.2
120,79.1,120,83.5
150,76.4,150,78.3
180,72.9,180,75.6
210,70,210,71.6
240,67.6,240,69.3
270,65.1,270,69.3
300,62.7,300,69.3
330,60,330,69.3
360,57.8,360,69.3
390,56.1,390,69.3
420,54.3,420,69.3
450,52.6,450,69.3
480,51.1,480,69.3
510,52.4,510,69.3
540,52,540,69.3
570,51.5,570,69.3
600,50.7,600,69.3
630,50.2,630,69.3
660,49.6,660,69.3
690,49,690,69.3
720,48.4,720,69.3
750,47.8,750,69.3
780,47.3,780,69.0
810,46.6,810,68.7
840,46,840,68.0
870,45.2,870,66.0
900,44.8,900,65.1
930,44,930,62.7
960,43.4,960,60.0
990,42.9,990,57.1
1020,42.1,1020,54.7
1050,41.5,,
1080,41,,
1110,40.3,,
1140,39.8,,
1170,39.9,,
1200,40,,
1230,40.1,,
1260,40.1,,
1290,40.1,,
1320,40.1,,
1350,40.1,,
1380,40.2,,
1410,40.2,,
1440,40.2,,
1470,40.2,,
1500,40.2,,
1530,40.2,,
1560,40.2,,
1590,40.2,,
1620,40.2,,
1650,40.2,,
1680,40.2,,
1710,40.2,,
1740,40.2,,
1770,40.2,,
1800,40.2,,
1830,40.1,,
1860,40.1,,
1890,40.1,,
1920,40.1,,
1950,40.1,,
1980,40,,
2010,39.8,,
2040,39.6,,
2070,39.2,,
2100,38.8,,
2130,38.2,,
2160,37.5,,
2190,36.7,,
2220,36.1,,
2250,35.4,,
